Index,Signal,Players,Current Crash,Prev Crash,Pool (SOL),Overall Cashout,System PNL,Time,Success
77,BET,9,1.55,2.08,0.100,0.0334,0.0663,2026-06-15T08:52:25.000Z,0
78,WAIT,8,2.08,5.31,0.634,0.5016,0.1324,2026-06-15T08:51:52.000Z,1
79,WAIT,8,5.31,1.14,0.637,0.7752,-0.1381,2026-06-15T08:51:14.000Z,0
80,WAIT,6,1.14,34.79,0.080,0,0.0801,2026-06-15T08:50:22.000Z,1
81,WAIT,4,34.79,6.09,0.054,0.8592,-0.8048,2026-06-15T08:49:55.000Z,0
82,WAIT,6,6.09,2.93,0.072,0.0153,0.0565,2026-06-15T08:48:30.000Z,0
83,WAIT,6,2.93,18.74,0.374,0.0220,0.3525,2026-06-15T08:47:36.000Z,0
84,WAIT,8,18.74,2.37,0.424,0.2772,0.1473,2026-06-15T08:46:53.000Z,0
85,BET,8,2.37,2.91,0.097,0.0167,0.0798,2026-06-15T08:45:39.000Z,0
86,WAIT,6,2.91,1.00,0.575,0.2233,0.3512,2026-06-15T08:44:59.000Z,0
87,WAIT,6,1.00,1.21,0.575,0,0.5745,2026-06-15T08:44:17.000Z,1
88,WAIT,4,1.21,2.67,0.082,0.0101,0.0720,2026-06-15T08:43:51.000Z,1
89,WAIT,7,2.67,1.22,0.541,0.0164,0.5251,2026-06-15T08:43:23.000Z,0
90,WAIT,7,1.22,3.43,0.541,0.0101,0.5314,2026-06-15T08:42:42.000Z,1
91,BET,7,3.43,2.62,0.148,0.7447,-0.5969,2026-06-15T08:42:14.000Z,1
92,WAIT,8,2.62,1.90,1.559,0.0116,1.5471,2026-06-15T08:41:28.000Z,0
93,WAIT,11,1.90,1.38,1.559,0.3472,1.2115,2026-06-15T08:40:47.000Z,1
94,WAIT,11,1.38,68.80,1.245,0.0234,1.2220,2026-06-15T08:40:12.000Z,1
95,WAIT,9,68.80,2.32,0.921,0.1805,0.7409,2026-06-15T08:39:41.000Z,0
96,WAIT,9,2.32,1.46,0.921,0.0221,0.8993,2026-06-15T08:38:06.000Z,1
97,WAIT,9,1.46,1.07,1.259,0.4551,0.8037,2026-06-15T08:37:27.000Z,1
98,WAIT,9,1.07,3.05,1.259,0.0101,1.2487,2026-06-15T08:36:56.000Z,1
99,WAIT,10,3.05,1.53,1.059,0.1382,0.9206,2026-06-15T08:36:30.000Z,0
100,WAIT,10,1.53,1.00,1.059,0.0185,1.0403,2026-06-15T08:35:46.000Z,1
101,WAIT,8,1.00,1.54,1.462,0,1.4623,2026-06-15T08:35:14.000Z,1
102,WAIT,10,1.54,1.00,0.890,0.0013,0.8890,2026-06-15T08:34:48.000Z,1
103,WAIT,10,1.00,1.49,0.890,0,0.8903,2026-06-15T08:34:18.000Z,1
104,WAIT,13,1.49,2.17,3.176,0,3.1765,2026-06-15T08:33:52.000Z,1
105,WAIT,13,2.17,1.61,3.176,0.0013,3.1752,2026-06-15T08:33:19.000Z,1
106,WAIT,10,1.61,1.00,0.959,0.0065,0.9526,2026-06-15T08:32:41.000Z,1
107,WAIT,8,1.00,3.66,1.130,0,1.1304,2026-06-15T08:32:08.000Z,1
108,WAIT,5,3.66,1.16,1.130,0.0182,1.1122,2026-06-15T08:31:43.000Z,0
109,WAIT,6,1.16,2.12,1.112,0,1.1120,2026-06-15T08:30:56.000Z,1
110,WAIT,7,2.12,2.87,0.821,0.7556,0.0658,2026-06-15T08:30:29.000Z,1
111,WAIT,8,2.87,1.49,0.821,0,0.8214,2026-06-15T08:29:51.000Z,0
112,WAIT,9,1.49,4.91,2.124,0.0331,2.0912,2026-06-15T08:29:09.000Z,1
113,WAIT,7,4.91,3.68,2.124,4.0953,-1.9710,2026-06-15T08:28:35.000Z,0
114,WAIT,5,3.68,3.96,0.148,0.0471,0.1014,2026-06-15T08:27:44.000Z,0
115,WAIT,5,3.96,2.49,0.096,0.0496,0.0467,2026-06-15T08:26:58.000Z,0
116,WAIT,6,2.49,9.70,0.124,0.3600,-0.2359,2026-06-15T08:26:11.000Z,1
117,WAIT,7,9.70,3.92,0.672,0.1034,0.5687,2026-06-15T08:25:29.000Z,0
118,WAIT,7,3.92,1.39,0.677,0.1296,0.5470,2026-06-15T08:24:26.000Z,0
119,WAIT,9,1.39,1.06,0.677,0.0128,0.6638,2026-06-15T08:23:38.000Z,1
120,BET,9,1.06,4.69,0.187,0,0.1867,2026-06-15T08:23:08.000Z,0
121,BET,7,4.69,23.89,0.271,0.0181,0.2530,2026-06-15T08:22:42.000Z,1
122,WAIT,7,23.89,2.33,0.717,0.0172,0.6995,2026-06-15T08:21:52.000Z,0
123,BET,14,2.33,1.23,1.154,0.0051,1.1491,2026-06-15T08:20:33.000Z,0
124,WAIT,14,1.23,3.45,1.265,0.0120,1.2528,2026-06-15T08:19:55.000Z,1
125,WAIT,10,3.45,2.72,1.265,1.1811,0.0837,2026-06-15T08:19:26.000Z,0
126,WAIT,11,2.72,2.69,0.576,0,0.5760,2026-06-15T08:18:40.000Z,0
127,WAIT,12,2.69,8.51,0.895,0.5489,0.3459,2026-06-15T08:17:58.000Z,0
128,WAIT,10,8.51,11.28,0.895,1.3869,-0.4921,2026-06-15T08:17:17.000Z,0
129,BET,8,11.28,1.58,0.325,0.6649,-0.3404,2026-06-15T08:16:16.000Z,1
130,WAIT,9,1.58,1.72,0.866,0.0233,0.8428,2026-06-15T08:15:11.000Z,1
131,WAIT,9,1.72,3.22,0.866,0.9485,-0.0824,2026-06-15T08:14:38.000Z,1
132,WAIT,7,3.22,1.06,0.860,1.2303,-0.3699,2026-06-15T08:14:04.000Z,0
133,WAIT,6,1.06,9.66,0.243,0,0,2026-06-15T08:13:18.000Z,1
134,WAIT,9,9.66,2.46,0.589,0.0618,0,2026-06-15T08:12:52.000Z,0
135,WAIT,9,2.46,9.50,0.589,0.3450,0,2026-06-15T08:11:50.000Z,1
136,WAIT,8,9.50,5.93,0.584,0.8849,0,2026-06-15T08:11:09.000Z,0
137,WAIT,8,5.93,3.70,0.988,0.2801,0,2026-06-15T08:10:07.000Z,0
138,WAIT,6,3.70,1.39,0.988,1.6529,0,2026-06-15T08:09:12.000Z,0
139,WAIT,6,1.39,1.24,0.632,0.0203,0,2026-06-15T08:08:25.000Z,1
140,WAIT,5,1.24,1.11,0.383,0.0101,0,2026-06-15T08:07:55.000Z,1
141,WAIT,6,1.11,1.94,0.364,0.0050,0,2026-06-15T08:07:26.000Z,1
142,WAIT,8,1.94,1.09,0.426,0.1656,0,2026-06-15T08:07:00.000Z,1
143,WAIT,8,1.09,1.32,0.464,0.0099,0,2026-06-15T08:06:24.000Z,1
144,WAIT,8,1.32,3.56,0.464,0.3718,0,2026-06-15T08:05:57.000Z,1
145,WAIT,11,3.56,1.16,0.627,0.4094,0,2026-06-15T08:05:28.000Z,0
146,WAIT,11,1.16,2.04,0.798,0.0146,0,2026-06-15T08:04:41.000Z,1
147,WAIT,11,2.04,7.16,0.798,0.1805,0,2026-06-15T08:04:13.000Z,1
148,WAIT,11,7.16,1.00,0.705,0.6132,0,2026-06-15T08:03:37.000Z,0
149,WAIT,11,1.00,1.02,0.705,0,0,2026-06-15T08:02:40.000Z,1
150,WAIT,14,1.02,1.23,0.734,0,0,2026-06-15T08:02:15.000Z,1
151,WAIT,14,1.23,8.66,0.734,0.0093,0,2026-06-15T08:01:50.000Z,1
152,WAIT,11,8.66,5.16,0.476,0.9449,0,2026-06-15T08:01:21.000Z,0
153,WAIT,11,5.16,3.47,0.476,1.0542,0,2026-06-15T08:00:20.000Z,0
154,BET,9,3.47,29.35,0.329,0.0887,0,2026-06-15T07:59:28.000Z,1
155,BET,10,29.35,24.78,0.283,0.0725,0,2026-06-15T07:58:42.000Z,1
156,BET,9,24.78,1.07,0.283,0.8917,0,2026-06-15T07:57:21.000Z,1
157,BET,9,1.07,36.32,0.278,0.0060,0,2026-06-15T07:56:03.000Z,0
158,BET,8,36.32,1.47,0.276,0.5171,0,2026-06-15T07:55:37.000Z,1
159,BET,10,1.47,5.80,0.250,0.0261,0,2026-06-15T07:54:12.000Z,0
160,BET,10,5.80,1.00,0.202,0.2673,0,2026-06-15T07:53:41.000Z,1
161,BET,7,1.00,1.94,0.125,0,0,2026-06-15T07:52:47.000Z,0
162,BET,6,1.94,30.35,0.061,0.0398,0,2026-06-15T07:52:22.000Z,0
